Title,Discription,Genre
Avengers: Infinity War,as the aveng and their alli have continu to protect the world from threat too larg for ani one hero to handl a new danger have emerg from the cosmic shadow thano a despot of intergalact infami hi goal be to collect all six infin stone artifact of unimagin power and use them to inflict hi twist will on all of realiti everyth the aveng have fight for have lead up to thi moment the fate of earth and exist itself have never be more uncertain,"Action, Adventure, Science Fiction"
Klaus,when jesper distinguish himself as the postal academi worst student he be send to smeerensburg a small villag locat on an ici island abov the arctic circl where grumpi inhabit bare exchang word let alon letter jesper be about to give up and abandon hi duti as a postman when he meet local teacher lava and klau a mysteri carpent who live alon in a cabin full of handmad toy,"Adventure, Animation, Comedy, Family, Fantasy"
君の膵臓をたべたい,after hi classmat and crush be diagnos with a pancreat diseas an averag high schooler set out to make the most of her final day,"Animation, Drama, Romance"
Top Gun: Maverick,after more than thirti year of servic as one of the navi 's top aviat and dodg the advanc in rank that would grind him pete maverick mitchel find himself train a detach of top gun graduat for a special mission the like of which no live pilot have ever see,"Action, Drama"
Mommy,a peculiar neighbor offer hope to a recent widow who be struggl to rais a teenag who be unpredict and sometim violent,Drama
青春ブタ野郎はゆめみる少女の夢を見ない,in fujisawa sakura azusagawa be in hi second year of high school bliss day with hi girlfriend and upperclassman mai sakurajima be interrupt by the appear of hi first crush shake makinohara,"Animation, Comedy, Drama, Fantasy, Romance"
Green Book,toni lip a bouncer in 1962 be hire to drive pianist don shirley on a tour through the deep south in the day when african american forc to find altern accommod and servic due to segreg law below the masondixon line reli on a guid call the negro motorist green book,"Drama, History"
아가씨,in 1930 korea a swindler and a young woman pose as a japanes count and a handmaiden to seduc a japanes heiress and steal her fortun,"Drama, Romance, Thriller"
러브 유어셀프 인 서울,shoot at the olymp stadium in seoul dure the it world tour love yourself to celebr the seven member of the global bombard and their unpreced intern phenomenon,Music
20세기 소녀,yondu ask her best friend bora to collect all the inform she can about baek hyunjin while she be away in the us for heart surgeri bora decid to get close to bank best friend hang wooh first howev bore clumsi plan unfold in an unexpect direct in 1999 a year befor the new centuri bora who turn seventeen fall into the fever of first love,"Drama, Romance"
おおかみこどもの雨と雪,after her werewolf lover unexpectedli die in an accid a woman must find a way to rais the son and daughter that she have with him howev their inherit of their father trait prove to be a challeng for her,"Adventure, Animation, Drama, Family, Fantasy"
Wolfwalkers,in a time of superstit and magic when wolv be see as demon and natur an evil to be tame a young apprentic hunter come to ireland with her father to wipe out the last pack but when she save a wild nativ girl their friendship lead her to discov the world of the wolfwalk and transform her into the veri thing her father be task to destroy,"Adventure, Animation, Family, Fantasy"
Il sorpasso,roberto a shi law student in rome meet bruno a fortyyearold exuber caprici man who take him for a drive through the roman and tuscani countri in the summer when their journey start to blend into their daili live though the pair newfound friendship be test,"Comedy, Drama"
Flamin' Hot,the inspir true stori of richard montag the fritz lay janitor who channel hi mexican american heritag and upbring to turn the icon flame hot cheeto into a snack that disrupt the food industri and becom a global pop cultur phenomenon,"Comedy, Drama"
